No,프로젝트,D/P&BOM 코드,D/P&BOM 내역,설계기능,도면종류,협력사,직영책임부서,작업 출도계획,작업 출도실적
1,P1,DPBOM000000001,도장,F1,D1,,D1,2014-07-13,2014-07-10
2,P1,DPBOM000000002,도장,F1,D1,,D1,2014-07-13,2014-07-10
3,P1,DPBOM000000003,가공,F2,D2,D5,D3,2014-07-14,2014-07-09
4,P1,DPBOM000000004,족장,F3,D3,,D4,2014-07-21,2014-06-30
5,P1,DPBOM000000005,공작,F2,D4,D5,D3,2014-07-21,2014-06-16
6,P1,DPBOM000000006,철의장,F2,D5,D5,D3,2012-11-20,2011-08-08
7,P1,DPBOM000000007,가공,F2,D2,D5,D3,2014-07-02,2014-06-26
8,P1,DPBOM000000008,재마킹,F4,D6,,D3,2014-07-09,2014-06-23
9,P1,DPBOM000000009,가공,F4,D7,,D3,2014-06-26,2014-06-16
10,P1,DPBOM000000010,가공,F2,D2,D5,D3,2014-08-04,2014-07-30
11,P1,DPBOM000000011,족장,F3,D3,,D4,2014-07-07,2014-06-30
12,P1,DPBOM000000012,의장,F1,D8,,D1,2014-07-01,2014-05-28
13,P1,DPBOM000000013,공작,F2,D4,D5,D3,2014-07-07,2014-06-16
14,P1,DPBOM000000014,철의장,F2,D5,D5,D3,2012-12-16,2011-07-14
15,P1,DPBOM000000015,가공,F2,D2,D5,D3,2014-07-22,2014-07-20
16,P1,DPBOM000000016,재마킹,F4,D6,,D3,2014-08-03,2014-07-22
17,P1,DPBOM000000017,가공,F4,D7,,D3,2014-07-22,2014-07-11
18,P1,DPBOM000000018,가공,F2,D2,D5,D3,2014-07-23,2014-07-20
19,P1,DPBOM000000019,재마킹,F4,D6,,D3,2014-08-04,2014-07-22
20,P1,DPBOM000000020,가공,F4,D7,,D3,2014-07-23,2014-07-11
21,P1,DPBOM000000021,가공,F2,D2,D5,D3,2014-06-15,2014-06-04
22,P1,DPBOM000000022,재마킹,F4,D6,,D3,2014-07-29,2014-07-14
23,P1,DPBOM000000023,가공,F4,D7,,D3,2014-07-17,2014-07-07
24,P1,DPBOM000000024,가공,F4,D7,,D3,2014-06-15,2014-06-02
25,P1,DPBOM000000025,가공,F2,D2,D5,D3,2014-06-25,2014-06-23
26,P1,DPBOM000000026,족장,F3,D3,,D4,2014-06-30,2014-06-30
27,P1,DPBOM000000027,의장,F1,D8,,D1,2014-06-22,2014-05-28
28,P1,DPBOM000000028,공작,F2,D4,D5,D3,2014-06-26,2014-06-16
29,P1,DPBOM000000029,철의장,F2,D5,D5,D3,2012-12-11,2011-07-14
30,P1,DPBOM000000030,가공,F2,D2,D5,D3,2014-06-01,2014-05-27
31,P1,DPBOM000000031,재마킹,F4,D6,,D3,2014-06-17,2014-06-02
32,P1,DPBOM000000032,가공,F4,D7,,D3,2014-06-01,2014-05-29
33,P1,DPBOM000000033,가공,F2,D2,D5,D3,2014-06-01,2014-05-27
34,P1,DPBOM000000034,재마킹,F4,D6,,D3,2014-06-17,2014-06-02
35,P1,DPBOM000000035,가공,F4,D7,,D3,2014-06-01,2014-05-29
36,P1,DPBOM000000036,가공,F2,D2,D5,D3,2014-07-23,2014-07-20
37,P1,DPBOM000000037,족장,F3,D3,,D4,2014-07-29,2014-06-30
38,P1,DPBOM000000038,공작,F2,D4,D5,D3,2014-07-29,2014-06-16
39,P1,DPBOM000000039,철의장,F2,D5,D5,D3,2012-12-16,2011-07-14
40,P1,DPBOM000000040,가공,F2,D2,D5,D3,2014-07-07,2014-07-02
41,P1,DPBOM000000041,재마킹,F4,D6,,D3,2014-07-20,2014-07-08
42,P1,DPBOM000000042,가공,F4,D7,,D3,2014-07-07,2014-07-06
43,P1,DPBOM000000043,가공,F2,D2,D5,D3,2014-09-16,2014-09-15
44,P1,DPBOM000000044,족장,F3,D3,,D4,2014-09-22,2014-06-26
45,P1,DPBOM000000045,재마킹,F4,D6,,D3,2014-09-15,2014-09-03
46,P1,DPBOM000000046,가공,F4,D7,,D3,2014-09-16,2014-09-15
47,P1,DPBOM000000047,의장,F1,D8,,D1,2014-09-11,2014-05-28
48,P1,DPBOM000000048,공작,F2,D4,D5,D3,2014-09-24,2014-09-21
49,P1,DPBOM000000049,철의장,F2,D5,D5,D3,2012-10-11,2011-07-17
50,P1,DPBOM000000050,가공,F2,D2,D5,D3,2014-09-03,2014-08-31
51,P1,DPBOM000000051,가공,F2,D2,D5,D3,2014-09-04,2014-09-01
52,P1,DPBOM000000052,재마킹,F4,D6,,D3,2014-09-16,2014-09-03
53,P1,DPBOM000000053,가공,F4,D7,,D3,2014-09-04,2014-08-24
54,P1,DPBOM000000054,가공,F2,D2,D5,D3,2014-06-17,2014-06-12
55,P1,DPBOM000000055,족장,F3,D3,,D4,2014-06-30,2014-06-26
56,P1,DPBOM000000056,재마킹,F4,D6,,D3,2014-06-03,2014-05-20
57,P1,DPBOM000000057,가공,F4,D7,,D3,2014-06-17,2014-06-15
58,P1,DPBOM000000058,의장,F1,D8,,D1,2014-06-12,2014-05-28
59,P1,DPBOM000000059,공작,F2,D4,D5,D3,2014-06-18,2014-06-15
60,P1,DPBOM000000060,철의장,F2,D5,D5,D3,2012-10-16,2011-07-17
